客戶編號,客戶名稱,送貨地址
006,信德儀器有限公司,台北市中正區羅斯福路3段240巷7弄4-1號
229,信安儀器有限公司,台北市中正區羅斯福路3段244巷10弄6-1號
348,台灣現用股份有限公司,台北市內湖區新明路143巷8號1樓
540,力鈞生物科技有限公司,台北市中山區吉林路245號5樓
260,慧眾生物科技有限公司,新北市中和區橋和路85號3F
110,(永吉)承濱實業有限公司,新北市三重區三陽路45號1F
594,盟基生物科技股份有限公司,新北市汐止區新台五路一段75號13樓之4
669,尉徠生物科技有限公司,桃園市桃園區春日路1348號
892,田祐國際有限公司,新北市三重區永福街46巷15弄2號
737,德怡科技有限公司,苗栗縣竹南鎮工業路198號
075,(伸球)展茂貿易有限公司,台中市南區復新街55號
397,拜爾碁特科技股份有限公司,苗栗縣頭份鎮幼英街20號
A5036,益邦製藥股份有限公司,苗栗縣竹南鎮科東三路1號
A5014,中國化學製藥股份有限公司(新豐廠),新竹縣新豐鄉上坑村二鄰坑子口182-1號
A1302,國立清華大學-鄭惠春老師,新竹市東區光復路二段101號 生命科學二館5樓517室
798,勢得科研股份有限公司,桃園市龜山區陳厝坑路997巷27號
674,建順儀器有限公司,代送
074,上美儀器有限公司,彰化縣員林市中山路二段301號
325,亞璟科技有限公司,台中市西區建國北路三段17號
999,聖美塑膠工廠,彰化縣和美鎮德美路594巷47號
383,宗城儀器商行,新竹市建功一路51巷20號2樓
A9029,恩揚生物科技股份有限公司,新竹縣關西鎮東安里13鄰糞箕窩1之7號
238,伯新科技股份有限公司,新竹市光華二街108巷16-7號
766,明亮儀器有限公司,新竹市和平路6巷42號
902,立亨國際有限公司,新竹市香山區香北路268號1樓
Z005,傅太太,桃園市楊梅區民有路一段198號
563,上展玻璃儀器商行,新竹市東區經國路１段398巷15號
116,詠欣有限公司,新竹市北區東大路三段298號
085,新新儀器股份有限公司,台北市大同區環河北路2段283號
268,國宜有限公司,新北市蘆洲區中正路243巷7弄28號1F
462,昱昌材料科技股份有限公司,桃園市平鎮區太平東路2號
A3007,佳格食品股份有限公司(中壢),桃園市中壢區吉林路13號
600,冠揚生物科技有限公司,新北市中和區連城路451號1樓
026,(德記)德揚儀器有限公司,新北市樹林區俊英街172巷12號1F
代寄01,望隼,苗栗縣竹南鎮公義里友義路66號
030,(巨門)啟新生物科技有限公司,新北市新北產業園區五工五路21號4F
715,雷伯斯儀器有限公司,桃園市楊梅區中山北路一段21巷2-3號
292,心意有限公司,新北市三重區成功路110號16F之18
A3001,葡萄王生技股份有限公司-龍岡廠,桃園市中壢區龍岡路三段60號
362,新東陽股份有限公司,桃園市大園區大工路11號
216,台灣默克股份有限公司,桃園市觀音區經建四路38號
440,弘光企業有限公司,桃園市中寧街3號4F
A9062,貝爾國際檢測科技股份有限公司,桃園市桃園區三民路三段182號地下一樓
A3002,佳格食品(股)公司,桃園市大園區和平西路一段369號#568
673,大明儀器行,桃園市蘆竹區文中路一段345巷50號
870,勁碩生物科技有限公司,新北市中和區中正路872號5樓之1
879,鉅宸國際有限公司,新北市三重區力行路1段137之1號
287,宏宜儀器股份有限公司,台北市內湖區洲子街103號4F
011,保吉生化學股份有限公司,新北市中和區中山路2段348巷8號11F
A1100,國立中央大學,桃園市中壢區五權里中大路300號科學二館(414室)
a5025,台裕化學製藥廠股份有限公司,新竹縣竹東鎮員山路11巷13弄1號(3號電梯)
A1462,國立臺灣大學,台北市羅斯福路四段1號生命科學館6樓617室
A5015,勝昌製藥廠股份有限公司,桃園市中壢區民族路六段436號
481,永傑生物科技股份有限公司,台北市士林區重慶北路四段248號2樓205室
417,研宏有限公司,台北市萬華區莒光路299巷3號
120,忠山儀器有限公司,桃園市宏昌八街18號
347,台美檢驗科技股份有限公司,新北市新北產業園區五工五路21號
a5069,七星化學製藥股份有限公司,新北市土城區福安街75號
083,廣瀚儀器有限公司,新竹市北區東大路四段156-1號
042,三育儀器行,新竹市經國路1段628號
048,進階生物科技股份有限公司,新北市汐止區康寧街169巷80號
441,臻美企業有限公司,新北市板橋區文化路二段225巷60弄62號
004,力明儀器有限公司,台北市文山區羅斯福路6段150巷22號4F
508,方強企業有限公司,桃園市龜山區頂湖九街2號
595,微杏基因生醫科技有限公司,新北市汐止區新台五路一段93號22樓之3(遠雄U-Town)
270,鼎好貿易有限公司,新北市中和區中山路二段504巷2號1F
809,揚積生物科技有公司,台北市南港區中南街24號
641,永佳科學儀器有限公司,新北市三重區三陽路59號10樓
A5010,寶齡富錦生技股份有限公司,桃園市平鎮區興隆路266號
代寄02,群研->元智環境科技研究中心,桃園市中壢區永豐里遠東路135號
A5007,杏林新生製藥股份有限公司,桃園市龍潭區三和里店湖一路237號
733,立騰玻璃儀器企業社,新竹市東區食品路331號
A3015,光泉牧場股份有限公司,桃園市大園區南港里14鄰大觀路1249號
237,永泰興貿易(股)公司,台北市中正區寧波西街120號
031,宏昇儀器行有限公司,台北市萬華區萬大路424巷11號1F
023,元亨興業有限公司,台北市信義區富陽街56號
832,智慧眼科技有限公司,桃園市蘆竹區光明路一段80號3樓
183,協泰儀器行,桃園市桃三街1號
346,莆崧實業股份有限公司,新北市三重區光復路一段83巷14號3F
Z003,中國生化科技股份有限公司,台中市工業區33路10號
